id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
35797,Villa Dante,153786,Dici,,Cuajimalpa de Morelos,19.38283,-99.27178,Entire home/apt,3982,1,0,,,1,363,0,
44616,Condesa Haus,196253,Fernando,,Cuauhtémoc,19.41162,-99.17794,Entire home/apt,,1,65,2025-01-01,0.40,9,364,1,
56074,Great space in historical San Rafael,265650,Maris,,Cuauhtémoc,19.43977,-99.15605,Entire home/apt,585,15,84,2025-02-27,0.49,1,361,1,
67703,"2 bedroom apt. deco bldg, Condesa",334451,Nicholas,,Cuauhtémoc,19.41152,-99.16857,Entire home/apt,,2,50,2024-10-30,0.31,2,307,2,
70644,Beautiful light Studio Coyoacan- full equipped !,212109,Trisha,,Coyoacán,19.35448,-99.16217,Entire home/apt,1015,3,132,2024-12-28,0.83,3,245,9,
131610,MARIA DEL ALMA,647454,Fernando,,Coyoacán,19.35416,-99.16488,Private room,,1,0,,,3,0,0,
165772,BEST 5 Bedroom HOUSE IN S. Miguel Chapultepec,790208,Francisco Carlos,,Miguel Hidalgo,19.40826,-99.18659,Entire home/apt,3982,2,377,2025-02-20,2.27,5,193,35,
171109,Cool room near WTC and Metrobus,816295,Carlos,,Benito Juárez,19.39675,-99.17581,Private room,327,4,111,2024-12-05,0.83,2,329,6,
180808,"Huge Luxurious Suite 70's style, perfectly located",36836,Roberto,,Cuauhtémoc,19.4239,-99.1689,Entire home/apt,1735,3,57,2025-02-19,0.36,1,343,6,
187030,Spacious apt with the best rooftop in Condesa,899360,Julian,,Cuauhtémoc,19.41057,-99.1773,Entire home/apt,,4,103,2023-09-08,0.63,6,0,0,
187745,Extraordinarily Spacious Apt. in Condesa,899360,Julian,,Cuauhtémoc,19.41057,-99.1773,Entire home/apt,,14,24,2018-01-03,0.17,6,0,0,
194937,Sunny & Fresh Apt. with best rooftop in Condesa,899360,Julian,,Cuauhtémoc,19.41057,-99.1773,Entire home/apt,,1,77,2024-07-08,0.48,6,0,2,
204887,"Traditional neighborhood: Escandón, Condesa & Roma",998053,MaryJo,,Cuauhtémoc,19.4059,-99.17548,Entire home/apt,741,3,32,2025-02-14,0.21,1,308,3,
